,file,name,status,date_signed,date_into_force,date_notification,end_implementation,partyisocode,composition,region,parties_wto,crossregional,language,chapter_count,article_count,word_count,average_WxA
0,pta_218.xml,EC - Greece Additional Protocol,Inactive,1975-04-28,1975-07-01,1975-07-21,,"['BEL', 'IRL', 'NLD', 'DEU', 'LUX', 'DNK', 'FRA', 'GBR', 'ITA', None, 'GRC']",Plurilateral,Europe,Yes,No,en,5,20,1841,92.05
1,pta_230.xml,EC - Portugal Agreement of 1972,Inactive,1972-07-22,1973-01-01,1972-11-27,,"['PRT', 'BEL', 'IRL', 'NLD', 'DEU', 'LUX', 'DNK', 'FRA', 'GBR', 'ITA', None]",Plurilateral,Europe,Yes,No,en,2,40,3618,90.45
2,pta_224.xml,EC - Lebanon Cooperation Agreement,Inactive,1977-05-03,1978-11-01,,,"['LBN', 'BEL', 'IRL', 'NLD', 'DEU', 'LUX', 'DNK', 'FRA', 'GBR', 'ITA', None]",Plurilateral,Europe; Middle East,No,Yes,en,7,50,4386,87.72
3,pta_378.xml,Mauritius - Pakistan,In Force,2007-07-30,2007-11-30,2015-10-02,2008-12-30,"['PAK', 'MUS']",Bilateral,Africa; West Asia,Yes,Yes,en,3,27,2545,94.25925925925925
4,pta_344.xml,Turkey - Chile,In Force,2009-07-14,2011-03-01,2011-02-25,2017-12-31,"['CHL', 'TUR']",Bilateral,South America; Europe,Yes,Yes,en,8,68,9160,134.7058823529412
5,pta_422.xml,Russian Federation - Azerbaijan,In Force,1992-09-30,1993-02-17,2012-09-13,1993-12-31,"['AZE', 'RUS']",Bilateral,Commonwealth of Independent States (CIS),No,No,en,3,23,1889,82.1304347826087
6,pta_436.xml,New Zealand - Chinese Taipei,In Force,2013-07-10,2013-12-01,2013-11-25,2025-12-31,"['NZL', 'TWN']",Bilateral,East Asia; Oceania,Yes,Yes,en,27,257,39702,154.48249027237355
7,pta_350.xml,Iceland - Faroe Islands,In Force,2005-08-31,2006-11-01,2008-07-10,2006-12-31,"['ISL', 'FRO']",Bilateral,Europe,No,No,en,3,15,2370,158.0
8,pta_387.xml,Canada - Peru,In Force,2008-05-29,2009-08-01,2009-07-31,2025-12-31,"['PER', 'CAN']",Bilateral,North America; South America,Yes,Yes,en,25,283,57715,203.9399293286219
9,pta_393.xml,Chile - Viet Nam,In Force,2011-11-11,2014-01-01,2015-05-12,2029-12-31,"['CHL', 'VNM']",Bilateral,South America; East Asia,Yes,Yes,en,16,115,15552,135.23478260869564
