,x,y,hue,year,type,name,region,chapter_name
0,-12.829513,39.44254,55,2007,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,preamble
1,-37.681625,6.843993,46,2007,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,general provisions
2,-1.6719804,-71.561005,5,2007,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,trade in goods
3,38.5448,-52.783836,44,2007,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,rules of origin
4,-0.006721839,-37.993126,53,2007,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,customs procedures
5,-48.299072,9.725499,34,2007,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,paperless trading
6,19.674051,-25.204697,2,2007,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,mutual recognition
7,-69.84681,16.919218,3,2007,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,trade in services
8,-28.892187,-38.26814,10,2007,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,investment
9,-50.10243,1.1355509,3,2007,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,movement of natural persons
10,-59.300117,-33.975697,1,2007,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,intellectual property
11,-13.934454,20.318436,34,2007,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,government procurement
12,17.761797,-7.7014365,36,2007,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,competition
13,-25.14621,-10.500969,46,2007,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,cooperation
14,-39.947216,38.682487,8,2007,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,dispute settlement
15,-11.063028,-41.362625,23,2007,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,final provisions
16,15.766017,66.57836,57,2007,Free Trade Agreement & Economic Integration Agreement,Japan - Thailand,East Asia,conclusion
17,31.865168,36.241425,49,2007,Free Trade Agreement,Egypt - Turkey,Africa; Europe,preamble
18,5.954809,14.6247225,11,2007,Free Trade Agreement,Egypt - Turkey,Africa; Europe,industrial products
19,44.049225,-4.08425,27,2007,Free Trade Agreement,Egypt - Turkey,Africa; Europe,"basic agricultural, processed agricultural and fishery products"
20,45.899406,0.51187533,27,2007,Free Trade Agreement,Egypt - Turkey,Africa; Europe,common provisions
21,22.457355,-7.744591,36,2007,Free Trade Agreement,Egypt - Turkey,Africa; Europe,"state monopolies, competition rules, payments and other economic provisions"
22,15.764367,8.018294,53,2007,Free Trade Agreement,Egypt - Turkey,Africa; Europe,trade in services
23,32.209133,-6.0647583,27,2007,Free Trade Agreement,Egypt - Turkey,Africa; Europe,institutional and final provisions
24,4.06664,64.272606,57,2007,Free Trade Agreement,Egypt - Turkey,Africa; Europe,conclusion
25,-11.413675,35.53527,55,2007,Free Trade Agreement & Economic Integration Agreement,Chile - Japan,South America; East Asia,preamble
26,48.88317,-27.712929,32,2007,Free Trade Agreement & Economic Integration Agreement,Chile - Japan,South America; East Asia,general provisions
27,-31.94466,-36.895317,10,2007,Free Trade Agreement & Economic Integration Agreement,Chile - Japan,South America; East Asia,general definitions
28,1.6459644,-66.93529,5,2007,Free Trade Agreement & Economic Integration Agreement,Chile - Japan,South America; East Asia,trade in goods
29,40.005962,-52.56708,44,2007,Free Trade Agreement & Economic Integration Agreement,Chile - Japan,South America; East Asia,rules of origin
30,-0.12199063,-37.191597,53,2007,Free Trade Agreement & Economic Integration Agreement,Chile - Japan,South America; East Asia,customs procedures
31,-57.103207,9.113424,34,2007,Free Trade Agreement & Economic Integration Agreement,Chile - Japan,South America; East Asia,sanitary and phytosanitary measures
32,-31.016445,-49.734097,10,2007,Free Trade Agreement & Economic Integration Agreement,Chile - Japan,South America; East Asia,"technical regulations, standards and conformity assessment procedures"
33,-72.10838,16.72217,3,2007,Free Trade Agreement & Economic Integration Agreement,Chile - Japan,South America; East Asia,investment
34,0.35930917,6.82912,40,2007,Free Trade Agreement & Economic Integration Agreement,Chile - Japan,South America; East Asia,cross-border trade in services
35,-55.024166,-11.714254,46,2007,Free Trade Agreement & Economic Integration Agreement,Chile - Japan,South America; East Asia,financial services
36,11.710912,-45.012516,2,2007,Free Trade Agreement & Economic Integration Agreement,Chile - Japan,South America; East Asia,entry and temporary stay of nationals for business purposes
37,-59.553932,-32.70156,1,2007,Free Trade Agreement & Economic Integration Agreement,Chile - Japan,South America; East Asia,government procurement
38,18.648275,-8.312224,36,2007,Free Trade Agreement & Economic Integration Agreement,Chile - Japan,South America; East Asia,intellectual property
39,-49.709015,8.525998,34,2007,Free Trade Agreement & Economic Integration Agreement,Chile - Japan,South America; East Asia,competition
40,-39.983498,39.795113,8,2007,Free Trade Agreement & Economic Integration Agreement,Chile - Japan,South America; East Asia,improvement of business environment
41,-39.823425,26.23501,8,2007,Free Trade Agreement & Economic Integration Agreement,Chile - Japan,South America; East Asia,dispute settlement
42,-53.536015,-10.676768,46,2007,Free Trade Agreement & Economic Integration Agreement,Chile - Japan,South America; East Asia,commission
43,-44.719048,-1.8970119,46,2007,Free Trade Agreement & Economic Integration Agreement,Chile - Japan,South America; East Asia,exceptions
44,30.41214,69.520386,57,2007,Free Trade Agreement & Economic Integration Agreement,Chile - Japan,South America; East Asia,final provisions
45,17.43616,22.844965,37,2007,Free Trade Agreement & Economic Integration Agreement,Chile - Japan,South America; East Asia,conclusion
46,0.43329176,-68.86294,5,2007,Free Trade Agreement,Central European Free Trade Agreement (CEFTA) 2006,Europe; Commonwealth of Independent States (CIS),
47,19.670408,57.2087,57,2007,Free Trade Agreement,Central European Free Trade Agreement (CEFTA) 2006,Europe; Commonwealth of Independent States (CIS),
48,14.953461,30.572725,19,2007,Free Trade Agreement,Central European Free Trade Agreement (CEFTA) 2006,Europe; Commonwealth of Independent States (CIS),
49,-33.756287,-19.285543,26,2007,Free Trade Agreement,EFTA - Egypt,Africa; Europe,preamble
50,44.737976,0.99513626,27,2007,Free Trade Agreement,EFTA - Egypt,Africa; Europe,general provisions
51,10.443207,-3.647932,17,2007,Free Trade Agreement,EFTA - Egypt,Africa; Europe,trade in goods
52,17.08164,11.774309,50,2007,Free Trade Agreement,EFTA - Egypt,Africa; Europe,protection of intellectual property
53,19.510796,-8.275744,36,2007,Free Trade Agreement,EFTA - Egypt,Africa; Europe,investment and services
54,-6.077323,-11.916934,14,2007,Free Trade Agreement,EFTA - Egypt,Africa; Europe,payment and capital movement
55,-32.218884,21.444307,8,2007,Free Trade Agreement,EFTA - Egypt,Africa; Europe,competition and other economic matters
56,0.18288752,-64.28668,5,2007,Free Trade Agreement,EFTA - Egypt,Africa; Europe,technical and financial assistance
57,4.087735,64.304665,57,2007,Free Trade Agreement,EFTA - Egypt,Africa; Europe,institutional and procedural provisions
58,-6.3178887,20.881948,55,2007,Free Trade Agreement,EFTA - Egypt,Africa; Europe,final provisions
59,7.461176,-13.333938,52,2007,Free Trade Agreement,EFTA - Egypt,Africa; Europe,conclusion
60,-40.170883,7.41728,8,2004,Customs Union,Southern African Customs Union (SACU),Africa,preamble
61,7.4510756,-13.354901,52,2004,Customs Union,Southern African Customs Union (SACU),Africa,definitions and objectives
62,26.500189,-21.087214,27,2004,Customs Union,Southern African Customs Union (SACU),Africa,establishment and legal status
63,5.2308173,61.633625,57,2004,Customs Union,Southern African Customs Union (SACU),Africa,institutions
64,-12.078927,37.71808,55,2004,Customs Union,Southern African Customs Union (SACU),Africa,meetings
65,4.766846,7.000671,49,2004,Customs Union,Southern African Customs Union (SACU),Africa,trade liberalisation
66,-32.661186,-36.632565,10,2004,Customs Union,Southern African Customs Union (SACU),Africa,common revenue pool
67,-58.0331,-28.65345,1,2004,Customs Union,Southern African Customs Union (SACU),Africa,revenue sharing
68,36.15794,-48.577362,44,2004,Customs Union,Southern African Customs Union (SACU),Africa,common policies
69,25.851757,-45.828014,44,2004,Customs Union,Southern African Customs Union (SACU),Africa,final provisions
70,-6.6347528,-72.20468,5,2004,Customs Union,Southern African Customs Union (SACU),Africa,conclusion
71,-43.07489,-7.5529966,46,2006,Free Trade Agreement & Economic Integration Agreement,Chile - China,South America; East Asia,preamble
72,-68.13205,7.522433,3,2006,Free Trade Agreement & Economic Integration Agreement,Chile - China,South America; East Asia,initial provisions
73,53.66773,-27.359175,32,2006,Free Trade Agreement & Economic Integration Agreement,Chile - China,South America; East Asia,general definitions
74,-39.84929,40.497826,8,2006,Free Trade Agreement & Economic Integration Agreement,Chile - China,South America; East Asia,national treatment and market access for goods
75,-33.45607,15.426514,8,2006,Free Trade Agreement & Economic Integration Agreement,Chile - China,South America; East Asia,rules of origin
76,-53.538902,-10.678818,46,2006,Free Trade Agreement & Economic Integration Agreement,Chile - China,South America; East Asia,procedures related to rules of origin
77,-10.310278,-4.004549,14,2006,Free Trade Agreement & Economic Integration Agreement,Chile - China,South America; East Asia,trade remedies
78,9.759859,63.80757,57,2006,Free Trade Agreement & Economic Integration Agreement,Chile - China,South America; East Asia,sanitary and phytosanitary measures
79,15.97651,67.10015,57,2006,Free Trade Agreement & Economic Integration Agreement,Chile - China,South America; East Asia,technical barriers to trade
80,-13.279454,39.462013,55,2006,Free Trade Agreement & Economic Integration Agreement,Chile - China,South America; East Asia,transparency
81,-3.3976586,20.280865,55,2006,Free Trade Agreement & Economic Integration Agreement,Chile - China,South America; East Asia,dispute settlement
82,-32.059143,-29.360708,10,2006,Free Trade Agreement & Economic Integration Agreement,Chile - China,South America; East Asia,administration
83,18.303102,-67.749054,25,2006,Free Trade Agreement & Economic Integration Agreement,Chile - China,South America; East Asia,exceptions
84,35.137184,-50.7277,44,2006,Free Trade Agreement & Economic Integration Agreement,Chile - China,South America; East Asia,cooperation
85,-5.4422407,-44.041557,23,2006,Free Trade Agreement & Economic Integration Agreement,Chile - China,South America; East Asia,final provisions
86,-2.1598895,-63.99149,5,2006,Free Trade Agreement & Economic Integration Agreement,Chile - China,South America; East Asia,conclusion
87,-49.24098,-3.558926,46,2006,Free Trade Agreement & Economic Integration Agreement,Trans-Pacific Strategic Economic Partnership,East Asia; South America; Oceania,preamble
88,-70.405815,12.5138445,3,2006,Free Trade Agreement & Economic Integration Agreement,Trans-Pacific Strategic Economic Partnership,East Asia; South America; Oceania,initial provisions
89,16.802237,-10.989063,36,2006,Free Trade Agreement & Economic Integration Agreement,Trans-Pacific Strategic Economic Partnership,East Asia; South America; Oceania,general definitions
90,-59.250397,-32.475426,1,2006,Free Trade Agreement & Economic Integration Agreement,Trans-Pacific Strategic Economic Partnership,East Asia; South America; Oceania,trade in goods
91,10.766679,-47.457043,2,2006,Free Trade Agreement & Economic Integration Agreement,Trans-Pacific Strategic Economic Partnership,East Asia; South America; Oceania,rules of origin
92,-72.88888,14.225441,3,2006,Free Trade Agreement & Economic Integration Agreement,Trans-Pacific Strategic Economic Partnership,East Asia; South America; Oceania,customs procedures
93,-43.71769,-2.0794322,46,2006,Free Trade Agreement & Economic Integration Agreement,Trans-Pacific Strategic Economic Partnership,East Asia; South America; Oceania,trade remedies
94,53.395428,-28.122368,32,2006,Free Trade Agreement & Economic Integration Agreement,Trans-Pacific Strategic Economic Partnership,East Asia; South America; Oceania,sanitary and phytosanitary measures
95,-38.936535,49.089203,8,2006,Free Trade Agreement & Economic Integration Agreement,Trans-Pacific Strategic Economic Partnership,East Asia; South America; Oceania,technical barriers to trade
96,-9.753714,-2.3943284,14,2006,Free Trade Agreement & Economic Integration Agreement,Trans-Pacific Strategic Economic Partnership,East Asia; South America; Oceania,competition policy
97,-33.8704,16.137932,8,2006,Free Trade Agreement & Economic Integration Agreement,Trans-Pacific Strategic Economic Partnership,East Asia; South America; Oceania,intellectual property
98,-42.126667,-3.563039,46,2006,Free Trade Agreement & Economic Integration Agreement,Trans-Pacific Strategic Economic Partnership,East Asia; South America; Oceania,government procurement
99,-55.148544,-10.377103,46,2006,Free Trade Agreement & Economic Integration Agreement,Trans-Pacific Strategic Economic Partnership,East Asia; South America; Oceania,trade in services
100,-1.6080146,-68.24625,5,2006,Free Trade Agreement & Economic Integration Agreement,Trans-Pacific Strategic Economic Partnership,East Asia; South America; Oceania,temporary entry
101,15.117757,67.16176,57,2006,Free Trade Agreement & Economic Integration Agreement,Trans-Pacific Strategic Economic Partnership,East Asia; South America; Oceania,transparency
