,x,y,hue,year
0,,,0,1948
1,,,1,1948
2,,,2,1948
3,,,3,1948
4,,,4,1948
5,,,5,1948
6,,,6,1948
7,,,7,1948
8,,,8,1948
9,,,9,1948
10,,,10,1948
11,-35.03886795043945,-59.78547668457031,11,1948
12,,,12,1948
13,,,13,1948
14,-15.718656539916992,-8.258340835571289,14,1948
15,,,15,1948
16,,,16,1948
17,,,17,1948
18,,,18,1948
19,,,19,1948
20,,,0,1951
21,,,1,1951
22,,,2,1951
23,56.783241271972656,34.01670837402344,3,1951
24,,,4,1951
25,,,5,1951
26,,,6,1951
27,,,7,1951
28,,,8,1951
29,,,9,1951
30,,,10,1951
31,-35.03886795043945,-59.78547668457031,11,1951
32,,,12,1951
33,,,13,1951
34,,,14,1951
35,,,15,1951
36,,,16,1951
37,,,17,1951
38,,,18,1951
39,,,19,1951
40,,,0,1957
41,-4.448719501495361,106.42710876464844,1,1957
42,,,2,1957
43,56.783241271972656,34.01670837402344,3,1957
44,,,4,1957
45,,,5,1957
46,,,6,1957
47,,,7,1957
48,,,8,1957
49,,,9,1957
50,,,10,1957
51,,,11,1957
52,,,12,1957
53,,,13,1957
54,,,14,1957
55,,,15,1957
56,,,16,1957
57,,,17,1957
58,,,18,1957
59,,,19,1957
60,,,0,1958
61,-4.448719501495361,106.42710876464844,1,1958
62,,,2,1958
63,,,3,1958
64,,,4,1958
65,,,5,1958
66,,,6,1958
67,,,7,1958
68,-50.6703987121582,-4.397103786468506,8,1958
69,,,9,1958
70,,,10,1958
71,,,11,1958
72,,,12,1958
73,,,13,1958
74,,,14,1958
75,,,15,1958
76,,,16,1958
77,,,17,1958
78,,,18,1958
79,,,19,1958
80,,,0,1959
81,-14.445145606994629,98.31257629394531,1,1959
82,,,2,1959
83,,,3,1959
84,,,4,1959
85,,,5,1959
86,,,6,1959
87,,,7,1959
88,-50.6703987121582,-4.397103786468506,8,1959
89,,,9,1959
90,,,10,1959
91,,,11,1959
92,,,12,1959
93,,,13,1959
94,,,14,1959
95,,,15,1959
96,,,16,1959
97,,,17,1959
98,,,18,1959
99,,,19,1959
100,,,0,1960
101,-14.445145606994629,98.31257629394531,1,1960
102,,,2,1960
103,54.89143753051758,31.80588722229004,3,1960
104,,,4,1960
105,,,5,1960
106,,,6,1960
107,,,7,1960
108,,,8,1960
109,,,9,1960
110,,,10,1960
111,,,11,1960
112,,,12,1960
113,,,13,1960
114,,,14,1960
115,,,15,1960
116,,,16,1960
117,,,17,1960
118,,,18,1960
119,14.383774757385254,13.499465942382812,19,1960
120,,,0,1961
121,-2.31530499458313,100.90997314453125,1,1961
122,,,2,1961
123,54.89143753051758,31.80588722229004,3,1961
124,,,4,1961
125,,,5,1961
126,,,6,1961
127,,,7,1961
